Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C),vpdmax (hPa),vpdmax (kPa)
1,-111.5016,37.0704,1211,2007-03,22.41,10.4,18.06,1.806
1,-111.5016,37.0704,1211,2007-04,14.36,14.7,24.01,2.401
1,-111.5016,37.0704,1211,2007-05,9.6,20.2,36.1,3.61
1,-111.5016,37.0704,1211,2007-06,0,26.9,56.09,5.609
1,-111.5016,37.0704,1211,2007-07,24.93,29.8,57.03,5.703
1,-111.5016,37.0704,1211,2007-08,31.68,28.1,47.67,4.767
1,-111.5016,37.0704,1211,2007-09,13.71,23.7,39.98,3.998
1,-111.5016,37.0704,1211,2007-10,1.66,14.6,22.37,2.237
1,-111.5016,37.0704,1211,2007-11,1.65,9.3,15.91,1.591
1,-111.5016,37.0704,1211,2007-12,26.07,1.6,6.07,0.607
1,-111.5016,37.0704,1211,2008-01,27.89,0.6,5.96,0.596
1,-111.5016,37.0704,1211,2008-02,19.17,4.8,9.16,0.916
1,-111.5016,37.0704,1211,2008-03,3.36,9.7,17.59,1.759
1,-111.5016,37.0704,1211,2008-04,0.48,12.5,23.23,2.323
1,-111.5016,37.0704,1211,2008-05,5.91,17.8,30.55,3.055
1,-111.5016,37.0704,1211,2008-06,0.16,25.6,53.74,5.374
1,-111.5016,37.0704,1211,2008-07,5.85,29.2,53.75,5.375
1,-111.5016,37.0704,1211,2008-08,31.65,28.1,50.28,5.028
1,-111.5016,37.0704,1211,2008-09,8.67,23,38.65,3.865
1,-111.5016,37.0704,1211,2008-10,3.37,15.4,25.47,2.547
1,-111.5016,37.0704,1211,2008-11,15.19,9.2,13.87,1.387
1,-111.5016,37.0704,1211,2008-12,23.81,3,7.44,0.744
1,-111.5016,37.0704,1211,2009-01,5.51,3.3,7.72,0.772
1,-111.5016,37.0704,1211,2009-02,4.53,5.5,11.05,1.105
1,-111.5016,37.0704,1211,2009-03,0.67,9.7,18.7,1.87
1,-111.5016,37.0704,1211,2009-04,0.93,13.3,23.46,2.346
1,-111.5016,37.0704,1211,2009-05,38.57,21.9,37.79,3.779
1,-111.5016,37.0704,1211,2009-06,7.77,22.8,38.24,3.824
1,-111.5016,37.0704,1211,2009-07,6.7,29.3,57.42,5.742
1,-111.5016,37.0704,1211,2009-08,0.26,27.4,52.9,5.29
1,-111.5016,37.0704,1211,2009-09,3.01,23.8,40.34,4.034
1,-111.5016,37.0704,1211,2009-10,0.49,14.1,22.49,2.249
1,-111.5016,37.0704,1211,2009-11,3.95,7.6,13.13,1.313
1,-111.5016,37.0704,1211,2009-12,25.88,-0.3,5.13,0.513
1,-111.5016,37.0704,1211,2010-01,75.55,1.2,4.75,0.475
1,-111.5016,37.0704,1211,2010-02,27.62,4.4,7.18,0.718
1,-111.5016,37.0704,1211,2010-03,27.36,8.6,13.61,1.361
1,-111.5016,37.0704,1211,2010-04,0.57,13.1,22.95,2.295
1,-111.5016,37.0704,1211,2010-05,0.15,16.9,29.73,2.973
1,-111.5016,37.0704,1211,2010-06,1.7,25.6,50.18,5.018
1,-111.5016,37.0704,1211,2010-07,8.29,29.5,53.72,5.372
1,-111.5016,37.0704,1211,2010-08,31.22,26.1,39.57,3.957
1,-111.5016,37.0704,1211,2010-09,0.28,23.9,44.65,4.465
1,-111.5016,37.0704,1211,2010-10,60.89,15.7,20.52,2.052
1,-111.5016,37.0704,1211,2010-11,5.91,7,12.01,1.201
1,-111.5016,37.0704,1211,2010-12,18.44,5.3,7.72,0.772
1,-111.5016,37.0704,1211,2011-01,0,1.2,7.7,0.77
1,-111.5016,37.0704,1211,2011-02,14.27,3.3,9.76,0.976
1,-111.5016,37.0704,1211,2011-03,12.61,9.6,16.45,1.645
1,-111.5016,37.0704,1211,2011-04,8.01,13,22.32,2.232
1,-111.5016,37.0704,1211,2011-05,2.83,16.3,28.2,2.82
1,-111.5016,37.0704,1211,2011-06,0,24.7,49.63,4.963
1,-111.5016,37.0704,1211,2011-07,26.24,27.7,49.57,4.957
1,-111.5016,37.0704,1211,2011-08,8.46,28.5,53.24,5.324
1,-111.5016,37.0704,1211,2011-09,23.46,23,38.17,3.817
1,-111.5016,37.0704,1211,2011-10,17.47,15.5,23.28,2.328
1,-111.5016,37.0704,1211,2011-11,19.14,7.2,11.19,1.119
1,-111.5016,37.0704,1211,2011-12,14.59,1.1,5.91,0.591
1,-111.5016,37.0704,1211,2012-01,9.01,3.2,8.66,0.866
1,-111.5016,37.0704,1211,2012-02,7.58,5.4,10.02,1.002
1,-111.5016,37.0704,1211,2012-03,6.87,9.8,18.19,1.819
1,-111.5016,37.0704,1211,2012-04,3.87,15.3,27.21,2.721
1,-111.5016,37.0704,1211,2012-05,0,21.5,38.8,3.88
1,-111.5016,37.0704,1211,2012-06,0,27.3,56.58,5.658
1,-111.5016,37.0704,1211,2012-07,12.73,28.5,48.94,4.894
1,-111.5016,37.0704,1211,2012-08,20.12,28.2,48.36,4.836
1,-111.5016,37.0704,1211,2012-09,13.76,23.1,38.08,3.808
1,-111.5016,37.0704,1211,2012-10,3.76,16.6,26.34,2.634
1,-111.5016,37.0704,1211,2012-11,0,8.9,14.68,1.468
1,-111.5016,37.0704,1211,2012-12,21.67,2.9,7.42,0.742
1,-111.5016,37.0704,1211,2013-01,16.22,-1,5.69,0.569
1,-111.5016,37.0704,1211,2013-02,0.11,4.4,9.55,0.955
1,-111.5016,37.0704,1211,2013-03,11.15,10.5,18.42,1.842
1,-111.5016,37.0704,1211,2013-04,6.67,14.4,25.14,2.514
1,-111.5016,37.0704,1211,2013-05,6.69,19.5,33.83,3.383
1,-111.5016,37.0704,1211,2013-06,0,27.3,58.05,5.805
1,-111.5016,37.0704,1211,2013-07,23.38,28.9,50.35,5.035
1,-111.5016,37.0704,1211,2013-08,52.1,26.1,40.8,4.08
1,-111.5016,37.0704,1211,2013-09,63.61,22.2,30.68,3.068
1,-111.5016,37.0704,1211,2013-10,3.21,13.1,21.24,2.124
1,-111.5016,37.0704,1211,2013-11,50.33,7.8,11.87,1.187
1,-111.5016,37.0704,1211,2013-12,12.76,-0.6,5.51,0.551
1,-111.5016,37.0704,1211,2014-01,1.23,2.9,9.11,0.911
1,-111.5016,37.0704,1211,2014-02,2.93,7.6,14.02,1.402
1,-111.5016,37.0704,1211,2014-03,7.07,10.1,17.1,1.71
1,-111.5016,37.0704,1211,2014-04,3.06,14.1,23.61,2.361
1,-111.5016,37.0704,1211,2014-05,5.02,18.8,33.56,3.356
1,-111.5016,37.0704,1211,2014-06,0,25.6,51.62,5.162
1,-111.5016,37.0704,1211,2014-07,4.01,29.5,53,5.3
1,-111.5016,37.0704,1211,2014-08,32.59,25.4,40.81,4.081
1,-111.5016,37.0704,1211,2014-09,19.56,23.9,38.75,3.875
1,-111.5016,37.0704,1211,2014-10,0,16.7,24.87,2.487
1,-111.5016,37.0704,1211,2014-11,0.1,8,14.2,1.42
1,-111.5016,37.0704,1211,2014-12,16.78,4.6,6.67,0.667
1,-111.5016,37.0704,1211,2015-01,23.76,2,5.22,0.522
1,-111.5016,37.0704,1211,2015-02,30.41,7.7,12.89,1.289
1,-111.5016,37.0704,1211,2015-03,13.29,11.2,19.21,1.921
1,-111.5016,37.0704,1211,2015-04,2.16,13.7,23.89,2.389
1,-111.5016,37.0704,1211,2015-05,31.03,17.1,25.24,2.524
1,-111.5016,37.0704,1211,2015-06,33.7,25.7,47.54,4.754
1,-111.5016,37.0704,1211,2015-07,16.43,26.7,45.87,4.587
1,-111.5016,37.0704,1211,2015-08,37.18,26.7,43.82,4.382
1,-111.5016,37.0704,1211,2015-09,10.69,23.9,39.36,3.936
1,-111.5016,37.0704,1211,2015-10,60.31,17.2,22.33,2.233
1,-111.5016,37.0704,1211,2015-11,6.74,6.5,10.88,1.088
1,-111.5016,37.0704,1211,2015-12,3.61,1,6.56,0.656
1,-111.5016,37.0704,1211,2016-01,14.96,1.6,6.1,0.61
1,-111.5016,37.0704,1211,2016-02,14.14,5.4,11.52,1.152
1,-111.5016,37.0704,1211,2016-03,1.89,10.9,18.98,1.898
1,-111.5016,37.0704,1211,2016-04,21.2,13.9,21.77,2.177
1,-111.5016,37.0704,1211,2016-05,13.64,18.4,28.22,2.822
1,-111.5016,37.0704,1211,2016-06,0.02,27.8,56.92,5.692
1,-111.5016,37.0704,1211,2016-07,7.11,28.8,56.28,5.628
1,-111.5016,37.0704,1211,2016-08,23.07,26.2,44.38,4.438
1,-111.5016,37.0704,1211,2016-09,28.54,21.7,34.53,3.453
1,-111.5016,37.0704,1211,2016-10,17.05,17,23.69,2.369
1,-111.5016,37.0704,1211,2016-11,18.17,9.2,12.87,1.287
1,-111.5016,37.0704,1211,2016-12,18.73,2.7,8.51,0.851
1,-111.5016,37.0704,1211,2017-01,36.36,3.5,7.13,0.713
1,-111.5016,37.0704,1211,2017-02,14.97,7.7,10.89,1.089
1,-111.5016,37.0704,1211,2017-03,19.42,11.9,20.43,2.043
1,-111.5016,37.0704,1211,2017-04,18.1,13.9,23.16,2.316
1,-111.5016,37.0704,1211,2017-05,8.8,18.5,32.92,3.292
1,-111.5016,37.0704,1211,2017-06,1.57,27.3,57.46,5.746
1,-111.5016,37.0704,1211,2017-07,30.64,29,53.78,5.378
1,-111.5016,37.0704,1211,2017-08,17.13,27.1,47.42,4.742
1,-111.5016,37.0704,1211,2017-09,12.19,21.7,36.44,3.644
1,-111.5016,37.0704,1211,2017-10,0,15.5,27.01,2.701
1,-111.5016,37.0704,1211,2017-11,0.33,10.3,16.09,1.609
1,-111.5016,37.0704,1211,2017-12,0,4.1,12.37,1.237
1,-111.5016,37.0704,1211,2018-01,7.08,3.5,8.7,0.87
1,-111.5016,37.0704,1211,2018-02,11.68,5.3,11.82,1.182
1,-111.5016,37.0704,1211,2018-03,19.37,8.9,15.2,1.52
1,-111.5016,37.0704,1211,2018-04,7.75,15.6,28.53,2.853
1,-111.5016,37.0704,1211,2018-05,8.69,20.8,37.81,3.781
1,-111.5016,37.0704,1211,2018-06,0,27.5,57.25,5.725
1,-111.5016,37.0704,1211,2018-07,25.49,29.3,54.27,5.427
1,-111.5016,37.0704,1211,2018-08,28.09,28.1,51.28,5.128
1,-111.5016,37.0704,1211,2018-09,0.91,24.4,44.62,4.462
1,-111.5016,37.0704,1211,2018-10,63.58,13.7,14.33,1.433
1,-111.5016,37.0704,1211,2018-11,2.84,7.1,13.25,1.325
1,-111.5016,37.0704,1211,2018-12,6.94,2.9,7.47,0.747
,,,,,,,,0
2,-113.8104,37.661,1691,2004-01,11.34,-2.5,4.52,0.452
2,-113.8104,37.661,1691,2004-02,60.67,-1.3,4.4,0.44
2,-113.8104,37.661,1691,2004-03,4.34,8.1,17.97,1.797
2,-113.8104,37.661,1691,2004-04,30.39,9.5,16.06,1.606
2,-113.8104,37.661,1691,2004-05,12.73,13.8,24.91,2.491
2,-113.8104,37.661,1691,2004-06,4.31,19.8,37.32,3.732
2,-113.8104,37.661,1691,2004-07,33.21,22.8,40.46,4.046
2,-113.8104,37.661,1691,2004-08,18.47,21.3,36.63,3.663
2,-113.8104,37.661,1691,2004-09,17.35,16.7,30.5,3.05
2,-113.8104,37.661,1691,2004-10,159.18,10.3,15.17,1.517
2,-113.8104,37.661,1691,2004-11,52.69,2.7,6.78,0.678
2,-113.8104,37.661,1691,2004-12,65.36,0.6,6.36,0.636
2,-113.8104,37.661,1691,2005-01,121.85,2.2,4.91,0.491
2,-113.8104,37.661,1691,2005-02,82.89,2.1,4.89,0.489
2,-113.8104,37.661,1691,2005-03,60.06,4.7,10.6,1.06
2,-113.8104,37.661,1691,2005-04,52.91,7.2,13.41,1.341
2,-113.8104,37.661,1691,2005-05,21.16,13.4,20.89,2.089
2,-113.8104,37.661,1691,2005-06,44.72,16.9,27.44,2.744
2,-113.8104,37.661,1691,2005-07,19.58,23.8,48.81,4.881
2,-113.8104,37.661,1691,2005-08,64.02,21,33.04,3.304
2,-113.8104,37.661,1691,2005-09,9.09,16.2,29.67,2.967
2,-113.8104,37.661,1691,2005-10,47.34,11,17.7,1.77
2,-113.8104,37.661,1691,2005-11,8.39,5.4,11.94,1.194
2,-113.8104,37.661,1691,2005-12,13.26,0.4,7.78,0.778
2,-113.8104,37.661,1691,2006-01,23.63,0.4,7.34,0.734
2,-113.8104,37.661,1691,2006-02,3.91,1,10.19,1.019
2,-113.8104,37.661,1691,2006-03,104.38,2.3,7.94,0.794
2,-113.8104,37.661,1691,2006-04,25.78,8.5,14.76,1.476
2,-113.8104,37.661,1691,2006-05,2.87,15,27.27,2.727
2,-113.8104,37.661,1691,2006-06,3.83,20.7,41.05,4.105
2,-113.8104,37.661,1691,2006-07,45.79,24,42.45,4.245
2,-113.8104,37.661,1691,2006-08,3.43,21.9,38.08,3.808
2,-113.8104,37.661,1691,2006-09,26.76,15.4,28.1,2.81
2,-113.8104,37.661,1691,2006-10,60.25,9.1,14.61,1.461
2,-113.8104,37.661,1691,2006-11,0,5.2,13.18,1.318
2,-113.8104,37.661,1691,2006-12,30.71,-2.6,6.04,0.604
2,-113.8104,37.661,1691,2007-01,15.04,-7.7,4.16,0.416
2,-113.8104,37.661,1691,2007-02,30.41,1.6,8.16,0.816
2,-113.8104,37.661,1691,2007-03,8.88,6.2,15.41,1.541
2,-113.8104,37.661,1691,2007-04,43.43,8.6,17.64,1.764
2,-113.8104,37.661,1691,2007-05,6.2,14.5,28.18,2.818
2,-113.8104,37.661,1691,2007-06,5.36,19.5,40.45,4.045
2,-113.8104,37.661,1691,2007-07,23.67,24.5,45.15,4.515
2,-113.8104,37.661,1691,2007-08,26.82,22.8,36.72,3.672
2,-113.8104,37.661,1691,2007-09,47.02,17.3,27.82,2.782
2,-113.8104,37.661,1691,2007-10,1.21,9.9,18.42,1.842
2,-113.8104,37.661,1691,2007-11,5.92,5.7,15.08,1.508
2,-113.8104,37.661,1691,2007-12,77.28,-2.7,4.28,0.428
2,-113.8104,37.661,1691,2008-01,80.5,-2.9,4.44,0.444
2,-113.8104,37.661,1691,2008-02,47.25,-0.5,5.7,0.57
2,-113.8104,37.661,1691,2008-03,7.03,4.4,12.96,1.296
2,-113.8104,37.661,1691,2008-04,1,6.8,17.17,1.717
2,-113.8104,37.661,1691,2008-05,24.72,10.9,19.84,1.984
2,-113.8104,37.661,1691,2008-06,3.8,18.3,36,3.6
2,-113.8104,37.661,1691,2008-07,24.12,23.4,39.05,3.905
2,-113.8104,37.661,1691,2008-08,12.54,23,39.28,3.928
2,-113.8104,37.661,1691,2008-09,4.41,17.5,31.6,3.16
2,-113.8104,37.661,1691,2008-10,19.32,11,20.65,2.065
2,-113.8104,37.661,1691,2008-11,32.03,5.9,10.61,1.061
2,-113.8104,37.661,1691,2008-12,54.45,-2.3,5.63,0.563
2,-113.8104,37.661,1691,2009-01,30.14,-1,5.59,0.559
2,-113.8104,37.661,1691,2009-02,60.4,0.3,5.8,0.58
2,-113.8104,37.661,1691,2009-03,4.69,4.6,12.38,1.238
2,-113.8104,37.661,1691,2009-04,17.42,7.2,14.69,1.469
2,-113.8104,37.661,1691,2009-05,8.48,15.6,26.61,2.661
2,-113.8104,37.661,1691,2009-06,9.5,16.7,27.52,2.752
2,-113.8104,37.661,1691,2009-07,18.61,23.3,41.74,4.174
2,-113.8104,37.661,1691,2009-08,1.62,21.3,40.13,4.013
2,-113.8104,37.661,1691,2009-09,10.97,18.8,33.26,3.326
2,-113.8104,37.661,1691,2009-10,6.53,8.2,15.63,1.563
2,-113.8104,37.661,1691,2009-11,17.17,4.4,13.04,1.304
2,-113.8104,37.661,1691,2009-12,48.74,-3.5,4.55,0.455
2,-113.8104,37.661,1691,2010-01,81.13,-0.8,4.84,0.484
2,-113.8104,37.661,1691,2010-02,60.27,-0.3,5.04,0.504
2,-113.8104,37.661,1691,2010-03,41.91,4.1,9.46,0.946
2,-113.8104,37.661,1691,2010-04,47.62,6.6,13.97,1.397
2,-113.8104,37.661,1691,2010-05,6.82,9.4,17.19,1.719
2,-113.8104,37.661,1691,2010-06,7.89,18.4,31.84,3.184
2,-113.8104,37.661,1691,2010-07,13.85,23.3,41.03,4.103
2,-113.8104,37.661,1691,2010-08,34.91,21,33.05,3.305
2,-113.8104,37.661,1691,2010-09,2.78,17.3,33.89,3.389
2,-113.8104,37.661,1691,2010-10,88.99,11,15.04,1.504
2,-113.8104,37.661,1691,2010-11,39.53,2,8.87,0.887
2,-113.8104,37.661,1691,2010-12,180.56,1.5,5.36,0.536
2,-113.8104,37.661,1691,2011-01,2.38,-3.1,5.38,0.538
2,-113.8104,37.661,1691,2011-02,50.28,-0.8,6.19,0.619
2,-113.8104,37.661,1691,2011-03,32.78,4,9.58,0.958
2,-113.8104,37.661,1691,2011-04,20.89,6.8,13.53,1.353
2,-113.8104,37.661,1691,2011-05,35.44,9.5,16.17,1.617
2,-113.8104,37.661,1691,2011-06,1.86,16.6,30.19,3.019
2,-113.8104,37.661,1691,2011-07,28.26,21.5,34.46,3.446
2,-113.8104,37.661,1691,2011-08,9.22,22.3,38.7,3.87
2,-113.8104,37.661,1691,2011-09,21.23,18.1,31.77,3.177
2,-113.8104,37.661,1691,2011-10,64.14,10.5,18.9,1.89
2,-113.8104,37.661,1691,2011-11,21.96,3,9.11,0.911
2,-113.8104,37.661,1691,2011-12,15.11,-3.2,5.8,0.58
2,-113.8104,37.661,1691,2012-01,17.69,1.1,8.61,0.861
2,-113.8104,37.661,1691,2012-02,33.39,0.9,7.31,0.731
2,-113.8104,37.661,1691,2012-03,25.85,4.7,12.13,1.213
2,-113.8104,37.661,1691,2012-04,15.87,8.8,17.44,1.744
2,-113.8104,37.661,1691,2012-05,0,14,26.92,2.692
2,-113.8104,37.661,1691,2012-06,0,19.5,38.49,3.849
2,-113.8104,37.661,1691,2012-07,45.97,22.1,36.46,3.646
2,-113.8104,37.661,1691,2012-08,69.03,22.5,34.37,3.437
2,-113.8104,37.661,1691,2012-09,20.09,17.8,29.78,2.978
2,-113.8104,37.661,1691,2012-10,28.68,11.5,20.65,2.065
2,-113.8104,37.661,1691,2012-11,13,5.4,12.82,1.282
2,-113.8104,37.661,1691,2012-12,43.57,-0.6,5.11,0.511
2,-113.8104,37.661,1691,2013-01,17.92,-7.3,3.4,0.34
2,-113.8104,37.661,1691,2013-02,12.24,-0.7,6.71,0.671
2,-113.8104,37.661,1691,2013-03,21.72,6,13.92,1.392
2,-113.8104,37.661,1691,2013-04,14.9,7.8,16.6,1.66
2,-113.8104,37.661,1691,2013-05,8.78,12.8,23.39,2.339
2,-113.8104,37.661,1691,2013-06,0,20.4,40.37,4.037
2,-113.8104,37.661,1691,2013-07,56.88,23.9,40.29,4.029
2,-113.8104,37.661,1691,2013-08,29.47,21.1,33.55,3.355
2,-113.8104,37.661,1691,2013-09,64.6,16.3,20.5,2.05
2,-113.8104,37.661,1691,2013-10,12.78,8.4,16.24,1.624
2,-113.8104,37.661,1691,2013-11,28,4.1,10.44,1.044
2,-113.8104,37.661,1691,2013-12,20.74,-5,4.59,0.459
2,-113.8104,37.661,1691,2014-01,6.7,1.1,8.9,0.89
2,-113.8104,37.661,1691,2014-02,17.14,3.4,10.79,1.079
2,-113.8104,37.661,1691,2014-03,21.44,5.2,13.01,1.301
2,-113.8104,37.661,1691,2014-04,14.15,8.3,16.77,1.677
2,-113.8104,37.661,1691,2014-05,19.38,13,23.15,2.315
2,-113.8104,37.661,1691,2014-06,0,19.1,35.42,3.542
2,-113.8104,37.661,1691,2014-07,43.36,23.4,37.25,3.725
2,-113.8104,37.661,1691,2014-08,51.06,19.7,27.67,2.767
2,-113.8104,37.661,1691,2014-09,89.14,18.2,27.86,2.786
2,-113.8104,37.661,1691,2014-10,0,11.8,19.93,1.993
2,-113.8104,37.661,1691,2014-11,11.36,4.4,11.86,1.186
2,-113.8104,37.661,1691,2014-12,30.76,1.6,6.11,0.611
2,-113.8104,37.661,1691,2015-01,23.88,0.9,6.32,0.632
2,-113.8104,37.661,1691,2015-02,32.9,4.5,12.21,1.221
2,-113.8104,37.661,1691,2015-03,35.47,6.5,15.08,1.508
2,-113.8104,37.661,1691,2015-04,20.42,8,16.72,1.672
2,-113.8104,37.661,1691,2015-05,69.28,11.7,15.75,1.575
2,-113.8104,37.661,1691,2015-06,13.6,20.4,37.85,3.785
2,-113.8104,37.661,1691,2015-07,30.05,20.9,34.12,3.412
2,-113.8104,37.661,1691,2015-08,27.19,22.1,36.92,3.692
2,-113.8104,37.661,1691,2015-09,16.01,19.1,31.08,3.108
2,-113.8104,37.661,1691,2015-10,39.06,12.9,18.65,1.865
2,-113.8104,37.661,1691,2015-11,19.67,1.8,8.28,0.828
2,-113.8104,37.661,1691,2015-12,19.21,-1.8,5.89,0.589
2,-113.8104,37.661,1691,2016-01,42.43,-1.4,4.76,0.476
2,-113.8104,37.661,1691,2016-02,29.23,-0.8,7.12,0.712
2,-113.8104,37.661,1691,2016-03,19.51,6,13.68,1.368
2,-113.8104,37.661,1691,2016-04,47.74,8.7,14.62,1.462
2,-113.8104,37.661,1691,2016-05,7.61,12.2,19.15,1.915
2,-113.8104,37.661,1691,2016-06,7.81,21.7,41.44,4.144
2,-113.8104,37.661,1691,2016-07,24.56,23.5,41.49,4.149
2,-113.8104,37.661,1691,2016-08,41.17,21.5,34.46,3.446
2,-113.8104,37.661,1691,2016-09,10.69,16.8,27.3,2.73
2,-113.8104,37.661,1691,2016-10,14.7,12.6,18.92,1.892
2,-113.8104,37.661,1691,2016-11,25.12,5.8,12.16,1.216
2,-113.8104,37.661,1691,2016-12,78.63,-1.3,5.51,0.551
2,-113.8104,37.661,1691,2017-01,77.44,-1.9,3.28,0.328
2,-113.8104,37.661,1691,2017-02,26.18,3.4,6.38,0.638
2,-113.8104,37.661,1691,2017-03,19.68,7.3,15.19,1.519
2,-113.8104,37.661,1691,2017-04,14.51,7.6,14.3,1.43
2,-113.8104,37.661,1691,2017-05,3.83,12.6,22.69,2.269
2,-113.8104,37.661,1691,2017-06,0,20.7,40.46,4.046
2,-113.8104,37.661,1691,2017-07,55.51,23.9,40.5,4.05
2,-113.8104,37.661,1691,2017-08,33.72,22.1,35.91,3.591
2,-113.8104,37.661,1691,2017-09,33.16,16.3,25.27,2.527
2,-113.8104,37.661,1691,2017-10,0.01,9.7,19.9,1.99
2,-113.8104,37.661,1691,2017-11,5.15,7.4,13.59,1.359
2,-113.8104,37.661,1691,2017-12,3.59,0.4,9.23,0.923
2,-113.8104,37.661,1691,2018-01,36.42,1.7,7.35,0.735
2,-113.8104,37.661,1691,2018-02,22.23,1,8.95,0.895
2,-113.8104,37.661,1691,2018-03,40.92,4.2,9.84,0.984
2,-113.8104,37.661,1691,2018-04,6.74,10.2,19.91,1.991
2,-113.8104,37.661,1691,2018-05,14.55,13.8,23.47,2.347
2,-113.8104,37.661,1691,2018-06,0,20.2,38.27,3.827
2,-113.8104,37.661,1691,2018-07,39.29,24.1,39.5,3.95
2,-113.8104,37.661,1691,2018-08,13.26,22.7,37.07,3.707
2,-113.8104,37.661,1691,2018-09,4.15,18.6,32.94,3.294
2,-113.8104,37.661,1691,2018-10,78.44,9.3,12.1,1.21
2,-113.8104,37.661,1691,2018-11,18.93,2.7,10.45,1.045
2,-113.8104,37.661,1691,2018-12,11.87,-0.4,5.75,0.575
,,,,,,,,0
3,-110.7117,39.1918,2089,2004-01,15.4,-3.3,4.87,0.487
3,-110.7117,39.1918,2089,2004-02,46.07,-3.1,4.18,0.418
3,-110.7117,39.1918,2089,2004-03,3.68,6.9,13.34,1.334
3,-110.7117,39.1918,2089,2004-04,41.17,8.1,12.97,1.297
3,-110.7117,39.1918,2089,2004-05,9.5,13,20.01,2.001
3,-110.7117,39.1918,2089,2004-06,21.62,17.9,29.22,2.922
3,-110.7117,39.1918,2089,2004-07,22.64,21.4,34.24,3.424
3,-110.7117,39.1918,2089,2004-08,25.53,19.6,30.66,3.066
3,-110.7117,39.1918,2089,2004-09,23.16,15.4,24.47,2.447
3,-110.7117,39.1918,2089,2004-10,111.06,8.7,12.08,1.208
3,-110.7117,39.1918,2089,2004-11,42.88,1.6,5.72,0.572
3,-110.7117,39.1918,2089,2004-12,23.4,-2.2,4.87,0.487
3,-110.7117,39.1918,2089,2005-01,56.85,0.3,4.42,0.442
3,-110.7117,39.1918,2089,2005-02,34.14,0.3,5.24,0.524
3,-110.7117,39.1918,2089,2005-03,22.27,3,8.61,0.861
3,-110.7117,39.1918,2089,2005-04,18.75,7.1,13.47,1.347
3,-110.7117,39.1918,2089,2005-05,20.77,12.7,19.65,1.965
3,-110.7117,39.1918,2089,2005-06,69.06,15.5,22.69,2.269
3,-110.7117,39.1918,2089,2005-07,6.38,23.5,41.48,4.148
3,-110.7117,39.1918,2089,2005-08,37.47,19.8,27.87,2.787
3,-110.7117,39.1918,2089,2005-09,33.36,15.7,22.55,2.255
3,-110.7117,39.1918,2089,2005-10,42.93,10.2,13.84,1.384
